Zipcode,Violent Crime,Property Crime
98327,17.6,23.6
77079,42.4,54
15921,21.2,25.5
77573,14.2,21.2
10030,64.3,67.2
98366,33.1,47.3
98058,18.2,27
50624,12.8,16.1
98512,23.6,34.6
51104,16,57.6
15212,57,63.2
51546,16.7,20.3
12513,23.2,28.4
11215,28.7,21.8
50025,21.1,26.5
10065,27.3,34.9
80221,38.2,46.2
14218,52.2,57.9
12740,23.9,29.8
10950,25.1,31.4
14221,17.5,24.1
98407,42.6,85.3
50448,24.2,27.3
51444,17.9,21.5
14111,23.3,28.5
75149,43.7,53.3
52307,50.2,54.4
11964,17.8,24.6
78373,29.8,49.1
50438,14.4,19
76039,33.2,43.2
10306,17,15.7
15010,33,42.3
79424,37.5,54.4
10036,49.9,58.2
31827,43.8,48.5
75904,41.2,52.1
50138,27.5,34.1
99403,32.4,49.5
78230,41.6,74.9
50801,31.2,36.7
12051,34.9,40.9
79935,33,41
92067,12.2,17.2
14750,24.4,30.7
11729,23.5,30.1
10507,35.8,41.1
98303,11.4,18.5
11731,17.3,21.9
99006,20.8,30
77034,61.7,71.8
75219,47.7,61
13324,27.7,32.8
13830,25.3,31.1
98225,38.2,53.6
78217,55.1,80.1
50324,22.1,34.4
75454,11.1,16.2
78748,22.8,54.6
76051,26,35
14755,30.4,36.1
51357,21.9,25.4
13620,26.5,32.1
98848,36.1,47.8
10465,49.5,33.9
77469,26.8,30.9
98936,23.6,27.1
11204,39.5,34.7
80211,42,59.5
12138,21.5,26.7
12077,14,20.2
92139,31.3,38
31027,55,61.3
11763,46.5,52
98466,34.3,42.8
13662,34.3,44.4
98240,12.7,19.1
51239,13.6,16.7
11550,59.5,63.7
75644,36.1,40.4
79107,58.9,75.1
26615,33.3,30.7
76522,31.2,39.7
79512,32.5,39.5
75212,70.2,75.4
75078,4.2,9.2
92123,25.9,34.9
78163,6.1,12.1
10520,22.1,28.7
77008,46.4,59.6
77879,32.6,44
77511,28.8,36.7
52218,19,22.1
98273,32.8,45.5
98626,35.4,49.4
98033,15.4,25.5
14757,24.9,31.1
95136,23.3,36.1
11575,42.9,47.6
10310,28.4,27.6
78133,23.3,30.5
52737,22.9,25
51510,36.6,43.9
22602,18.3,23.6
17840,30.2,30.9
10576,4.2,9
98052,16.6,28.1
10969,14,17.8
14904,44.7,54.5
50207,16.2,19.7
98902,48.1,59.5
10801,40.9,47.3
76262,11.6,16.4
11428,20.5,16.4
77064,52.6,65.2
51034,25,28.3
14219,38,45.9
10454,72.3,64.1
14214,71.5,75.2
52241,27.2,37.9
41317,32.8,45.6
98136,27.2,64.8
13408,19.9,25.3
79109,34.7,63.1
95120,14.9,20.4
24201,41.5,48.8
12561,23.5,29.4
92154,32.9,39.2
50003,14.2,20.3
15714,27.5,31.6
92026,32,38
52804,39.4,65.3
50544,20.9,24
12538,19.9,24.4
50322,22.2,27.9
13695,5,3.6
76028,18.4,25.6
14206,71.1,73.9
14569,35.8,42.7
