Zipcode,Zip_code_Rank_to_live,Zip_code_Rank_Families,Zip_code_Rank_schools,Zip_code_Rank_Diverse
98304,0,0,0,0
98310,"3,574","10,021",70,174
98312,"5,998","7,684","9,552","9,741"
98321,"5,610","8,619",109,157
98327,"2,363","2,822","4,336","5,659"
98328,"9,004",236,36,0
98332,"5,337","6,866","7,775","9,436"
98333,"5,333","9,685","9,902",102
98335,"5,331","6,084","7,067","9,276"
98337,"3,799","8,263",83,134
98338,"6,974",168,102,29
98349,"5,332",101,5,0
98354,"5,138","7,578","10,396",86
98361,0,0,0,0
98362,"8,927","9,644",166,234
98363,"7,561",183,0,0
98365,0,0,0,0
98366,"6,210",140,90,7
98367,"8,083",205,114,9
98368,"3,273","7,217","7,382",52
98370,"5,809","5,948","6,754","8,343"
98371,"6,655","6,689","7,288","7,871"
98372,"6,447","6,691","10,087",125
98373,"4,982","6,848","7,751",107
98374,"5,203","6,886","7,476",113
98375,"3,826","7,848",84,137
98376,0,0,0,0
98382,0,0,0,0
98383,"4,470","4,835","5,786","6,904"
98387,"2,724",54,48,13
98390,"5,813","6,482","8,567",112
98391,"6,021","7,145","8,589",116
98403,"4,357","6,796","8,639",69
98405,"2,006","8,452","9,035",41
98406,"4,148","6,119","6,379",67
98407,"7,558","9,646",167,182
98408,872,"9,466",27,174
98409,382,"9,047",20,165
98418,"2,272","9,467","9,570",45
98422,"3,719","8,228","8,881",79
98424,302,"5,340","5,905","8,668"
98443,"6,695","7,648","8,592",133
98444,133,"10,481",14,200
98445,"1,274",31,31,8
98466,"3,343","6,616","6,625","6,855"
98467,"1,230","6,370","6,774","7,430"
98499,85,13,13,2
98501,"2,903","3,242","3,896","6,493"
98502,"1,462","3,334","3,474","6,364"
98503,"3,621","4,713","4,722","6,081"
98506,"2,630","3,714","4,283","8,574"
98512,"3,175","5,235","6,358","7,907"
98513,"3,242","5,352","6,329","7,073"
98516,"3,234","3,870","4,485","4,714"
98520,"5,329",117,1,0
98524,0,0,0,0
98528,"6,644",158,2,0
98530,0,0,0,0
98537,"8,776",232,3,0
98541,"7,603",185,3,0
98550,"8,532",223,2,0
98557,0,0,0,0
98563,"7,027","9,234",16,168
98569,0,0,0,0
98576,"7,946",196,8,0
98579,"8,444",218,9,0
98580,"8,970",235,35,0
98584,"6,270",141,1,0
98589,0,0,0,0
98591,0,0,0,0
98592,0,0,0,0
98593,0,0,0,0
98595,0,0,0,0
98596,"7,311",177,2,0
98597,"7,136",170,6,0
98604,0,0,0,0
98606,"10,010",190,50,11
98607,"1,518","2,051","3,100","7,164"
98611,0,0,0,0
98612,0,0,0,0
98620,0,0,0,0
98621,0,0,0,0
98626,"7,754",189,0,0
98629,0,0,0,0
98632,"7,200",172,0,0
98640,0,0,0,0
98642,"6,324","9,566",123,176
98660,"6,520","9,206",155,155
98661,"3,181","8,697","8,740",57
