SchoolNumber,SchoolName,Address1,Address2,City,State,Zip,Administrator,Phone,Email,Website,SchoolType,Expires,ContinuingEducation,PreLicense,DistanceLearning
S03-0008,COMMERCIAL REAL ESTATE SEMINARS,20343 N. HAYDEN RD,SUITE 105-160,SCOTTSDALE,AZ,85255,Andrew "Patrick" Sheahan,(480) 251-5338,Sheahan@usa.com,www.creseminars.com,Private School,4/30/2023 12:00:00 AM,True,False,False
S03-0012,EARNEST SCHOOL OF REAL ESTATE (THE),830 S Higley,,Gilbert,AZ,85296,Danette Earnest,(480) 820-9040,danette@earnestRealestategroup.com,,Private School,4/30/2023 12:00:00 AM,True,True,False
S03-0023,SYMPOSIUM SERIES,4752 S. MERRIMAN WAY,,GILBERT,AZ,85297,WENDY ROGERS,(480) 529-9891,wendyjrogers@gmail.com,www.phoenix.housemaster.com,Private School,1/31/2025 12:00:00 AM,True,False,False
S04-0003,REAL ESTATE LEARNING CENTER,11445 E VIA LINDA SUITE 2 #533,,SCOTTSDALE,AZ,85259,Lori McCallister,(480) 442-2036,lori@realestatelc.com,www.realestatelc.com,Private School,4/30/2024 12:00:00 AM,True,False,True
S04-0010,STEPHEN WOLF SEMINARS,3849 E. Broadway # 213,,Tucson,AZ,85716,STEPHEN WOLF,(520) 975-1900,wolfmortgage@yahoo.com,,Private School,10/31/2024 12:00:00 AM,True,False,False
S06-0003,ARIZONA DIVERSIFIED REAL ESTATE SCHOOL,33765 N SCOTTSDALE RD BLD B,,SCOTTSDALE,AZ,85266,SUSAN CARROLL-HAMBLEN,(602) 943-7252,c21susan.realtor@gmail.com,,Private School,2/28/2026 12:00:00 AM,True,False,False
S05-0007,GILA COUNTY COMMUNITY COLLEGE,201 N. MUDSPRINGS ROAD,,PAYSON,AZ,85541,ANN KNIGHTS,(928) 468-8039,ann.knights@eac.edu,www.gilaccc.org,College,,True,True,False
S05-0008,RITCHIE SCHOOL OF REAL ESTATE FINANCE,1550 E. WINDMERE DR.,,PHOENIX,AZ,85048,PATRICK RITCHIE,480-203-4641,patrick.ritchie@outlook.com,www.patrickritchie.com,Private School,7/31/2023 12:00:00 AM,True,False,False
S06-0002,DESERT SAGE SEMINARS,15029 N THOMPSON PEAK #B111-487,,Scottsdale,AZ,85260,JON KICHEN/DANA KICHEN-Owner/Administrator,(602) 377-6207,jon@desertsageseminars.com,www.desertsageseminars.com,Private School,2/28/2026 12:00:00 AM,True,False,True
S06-0010,CCIM INSTITUTE,430 North Michigan Avenue Ste. 700,,Chicago,IL,60611-4092,ANTOINETTE JORDAN,(312) 321-4460,CECREDIT@CCIM.COM,www.ccim.com,Independent Organization,10/31/2025 12:00:00 AM,True,False,False
