,Address,Walk_Score,Transit_Score,Bike_Score
0,"109 Sunrise Fls, Cibolo, TX 78108",34,0,32
1,"299 Mount Whitney Way, Lake Placid, NY 12946",0,0,0
2,"2910 Persimmon Grv, Richmond, TX 77469",13,0,29
3,"19251 E State Route 106, Belfair, WA 98528",7,0,0
4,"Clover Plan, The Alpine Collection at Altaira at High Point",14,18,37
5,"332 C St SW, Ephrata, WA 98823",67,0,53
6,"1 5th Ave #13AJK, New York, NY 10003",86,0,0
7,"5040 Martin Luther King Jr Way S #B, Seattle, WA 98118",89,64,53
8,"545 Ocean View Ave, Encinitas, CA 92024",46,0,0
9,"350 11th Ave UNIT 224, San Diego, CA 92101",98,80,87
10,"1408C 21st Ave, Seattle, WA 98122",93,64,93
11,"300 W 11th Ave UNIT 19A, Denver, CO 80204",96,72,98
12,"1735 Kirk Pl, Carlsbad, CA 92008",23,28,0
13,"6556 32nd Ave NE, Seattle, WA 98115",76,50,82
14,"2863 Spring Rose Cir, Coralville, IA 52241",16,22,20
15,"825 W Beech St UNIT 301, San Diego, CA 92101",95,78,78
16,"215 3rd Ave SW, Waverly, IA 50677",72,0,77
17,"96 Quail Hollow Dr, San Jose, CA 95128",65,47,79
18,"609 Clifford Dr, Austin, TX 78745",65,50,69
19,"813 Cherry St NW, Bondurant, IA 50035",15,0,33
20,"3485 W 33rd Ave, Denver, CO 80211",79,41,81
21,"Zellner Rd, Summit, NY 12175",0,0,0
22,"Bellhaven Plan, Southbridge Farms",0,0,0
23,"3347 Hostetter Rd, San Jose, CA 95132",28,33,49
24,"328-330 9th St, Del Mar, CA 92014",66,0,47
25,"1818 The Alameda, San Jose, CA 95126",70,51,55
26,"7301 Lake Rock Dr, Fort Worth, TX 76179",11,0,13
27,"4048 W 16th Ave, Denver, CO 80204",74,56,98
28,"740 Meade St, Denver, CO 80204",59,53,64
29,"323 Route 17k, Bloomingburg, NY 12721",0,0,0
30,"802 Abney Ave, Lufkin, TX 75904",33,0,48
31,"11254 Caminito Aclara, San Diego, CA 92126",0,0,15
32,"7867 Caffey Ln, San Diego, CA 92126",15,24,30
33,"2405 36th St, Des Moines, IA 50310",51,28,53
34,"21670 Saddle Bred Ln, Escondido, CA 92029",0,16,34
35,"1399 Park Ave #18A, New York, NY 10029",99,100,80
36,"1418 Dorene Blvd, Carter Lake, IA 51510",35,0,54
37,"431 Deer Park Ave, Babylon, NY 11702",66,0,52
38,"45 Joyful Pl, Leavenworth, WA 98826",0,0,35
39,"1002 Yarwood Ct, San Jose, CA 95128",43,41,48
40,"605 S Alton Way APT 9C, Denver, CO 80247",30,35,63
41,"507 Scurlock St, Grandview, TX 76050",32,0,39
42,"2622 Avella Dr, San Diego, CA 92108",18,39,14
43,"39 Street #145/9, San Diego, CA 92116",43,41,46
44,"1662 Canna Ln, San Jose, CA 95124",45,24,43
45,"2629 Valewood Ave, Carlsbad, CA 92010",1,24,10
46,"17636 Azucar Way, San Diego, CA 92127",20,23,27
